,Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy
127,2022-11-01,3866.0,11332.0,384.5199890136719,3928.0,11619.0,390.3900146484375,3852.5,11288.75,383.2900085449219,3884.0,11455.0,390.1400146484375,1895614,605362,85407600.0
128,2022-11-02,3768.75,10944.5,374.8699951171875,3907.0,11460.0,388.6300048828125,3760.25,10909.0,374.760009765625,3863.0,11320.25,383.8999938964844,2210708,770983,126990400.0
129,2022-11-03,3727.75,10728.0,371.010009765625,3782.5,10996.0,374.20001220703125,3704.25,10708.0,368.7900085449219,3766.75,10938.0,371.4700012207031,1887557,705050,87100100.0
130,2022-11-04,3779.5,10890.25,376.3500061035156,3805.5,10974.25,378.8699951171875,3711.0,10636.0,370.0,3724.0,10712.0,377.0,2494788,881129,103505200.0
131,2022-11-07,3815.25,11014.25,379.95001220703125,3821.75,11038.5,380.57000732421875,3738.25,10751.0,375.5299987792969,3750.0,10786.5,377.7099914550781,1483146,554692,68286900.0
132,2022-11-08,3835.25,11094.25,382.0,3867.0,11231.25,385.1199951171875,3792.75,10928.75,377.7200012207031,3812.75,11016.0,381.1099853515625,1878046,728868,84641100.0
133,2022-11-09,3755.5,10830.75,374.1300048828125,3848.75,11164.25,381.1400146484375,3750.0,10822.25,373.6099853515625,3832.5,11089.25,379.92999267578125,1889153,669071,78495500.0
134,2022-11-10,3961.0,11632.25,394.69000244140625,3973.5,11677.0,395.0400085449219,3751.5,10808.0,385.6400146484375,3757.0,10841.0,388.04998779296875,2408104,862147,141455800.0
135,2022-11-11,4000.25,11848.0,398.510009765625,4009.75,11876.75,399.3500061035156,3951.0,11569.25,393.6099853515625,3973.0,11669.75,395.5899963378906,1927068,682257,93839900.0
136,2022-11-14,3966.0,11734.75,395.1199951171875,4017.5,11898.5,400.17999267578125,3964.0,11702.0,394.8299865722656,3984.0,11791.0,396.6600036621094,1592615,576678,71903500.0
