,Date,Open,High,Low,Close,Volume,IBR,CCI,SMA50,SMA200,RSI2,RSI5,EMA8,ER,EMA_100,Stoch,StochAboveSlow,Sell,Buy,LongTradeIn,LongTradeOut,HoldLong,DaysInTrade,ProfitableCloses,RollingPnL,TradePnL,RunningMax,Drawdown
138,2022-11-03,10938.0,10996.0,10708.0,10728.0,705050.0,0.06944444444444445,-122.85932546979345,11635.1566015625,,5.054942822799745,25.33009198385824,11163.650277233754,0.1569157564615551,11860.52265862996,1.949317738791423,False,False,True,False,False,True,1,0,19132.20703125,-4330.0,29022.20703125,9890.0
139,2022-11-04,10712.0,10974.25,10636.0,10890.25,881129.0,0.7516629711751663,-101.23734242612068,11589.8416015625,,42.77545341758563,36.590549991979486,11102.894660070697,0.21223796033994335,11840.03865970049,23.15573770491803,True,False,False,False,False,True,2,0,22377.20703125,-1085.0,29022.20703125,6645.0
140,2022-11-07,10786.5,11038.5,10751.0,11014.25,554692.0,0.9156521739130434,-67.88059245686352,11557.7166015625,,64.39613322469569,44.57529131087837,11083.195846721654,0.21018099547511312,11822.627749279045,34.44899817850637,True,False,False,False,True,True,3,0,24857.20703125,1395.0,29022.20703125,4165.0
141,2022-11-08,11016.0,11231.25,10928.75,11094.25,728868.0,0.547107438016529,-26.297467088151624,11529.7466015625,,76.06481996529567,49.684855973829606,11085.652325227953,0.3013015448242306,11807.290310978657,41.73497267759563,True,False,False,False,False,False,0,0,24857.20703125,0.0,29022.20703125,4165.0
142,2022-11-09,11089.25,11164.25,10822.25,10830.75,669071.0,0.024853801169590642,-75.13481288784085,11499.1866015625,,24.07903826861194,36.01498616626568,11029.007364066187,0.29993906154783667,11786.753091972643,17.7367941712204,False,False,False,False,False,False,0,0,24857.20703125,0.0,29022.20703125,4165.0
143,2022-11-10,10841.0,11677.0,10808.0,11632.25,862147.0,0.9485040276179517,59.773034593493676,11486.1266015625,,85.28008751384506,68.72830789024646,11163.061283162591,0.1502649507948524,11783.507787987292,90.73315118397086,True,False,False,False,False,False,0,0,24857.20703125,0.0,29022.20703125,4165.0
144,2022-11-11,11669.75,11876.75,11569.25,11848.0,682257.0,0.9065040650406504,167.07683731742486,11477.2416015625,,89.73495863240186,73.31834711834463,11315.269886904238,0.10415003990422984,11784.860805519353,97.68285311303647,True,False,False,False,False,False,0,0,24857.20703125,0.0,29022.20703125,4165.0
145,2022-11-14,11791.0,11898.5,11702.0,11734.75,576678.0,0.16666666666666666,146.0520420889484,11469.8516015625,,68.09854970461805,66.87750711228537,11408.487689814408,0.11595079653155878,11783.810739936378,87.02970297029702,False,False,False,False,False,False,0,0,24857.20703125,0.0,29022.20703125,4165.0
146,2022-11-15,11768.5,12118.75,11761.75,11904.25,771822.0,0.39915966386554624,158.36497129889182,11467.5566015625,,81.47146482156782,71.55281898740773,11518.657092077874,0.22585101134681795,11786.331623068128,85.5336368234699,False,False,False,False,False,False,0,0,24857.20703125,0.0,29022.20703125,4165.0
147,2022-11-16,11882.0,11963.0,11706.5,11739.5,577864.0,0.1286549707602339,111.6773856138087,11457.0816015625,,44.8904691838744,61.0781732356851,11567.733293838346,0.34400692340977934,11785.35250761631,74.42252571235879,False,False,False,False,False,False,0,0,24857.20703125,0.0,29022.20703125,4165.0
148,2022-11-17,11777.75,11827.5,11528.25,11710.5,658469.0,0.6090225563909775,76.91077678305503,11444.8566015625,,38.763136297237935,59.17221657290629,11599.459228540934,0.4626795384977631,11783.789283135358,72.46670038779295,False,False,False,False,False,False,0,0,24857.20703125,0.0,29022.20703125,4165.0
149,2022-11-18,11747.75,11843.0,11607.0,11708.0,585873.0,0.4279661016949153,76.91741585271775,11427.1666015625,,37.87187280130353,58.973909172038645,11623.579399976283,0.4164226607256524,11782.208205831976,72.29809475636486,False,False,False,False,False,False,0,0,24857.20703125,0.0,29022.20703125,4165.0
